Bitrate,Codec,RunTimes,Duration,Idle Power (W),Total Power (W),FFmpeg Power (W),Total Energy (J),Ffmpeg Energy (J),CPU Avg (%),CPU Max (%),Temp Avg (°C),Temp Max (°C),VMAF Mean
7000,libvvenc,1,101.443696207,1.54,181.04,179.50,18365.498516,18209.275223842,26.34,41.00,16.0,16.0,98.4816
7000,libvvenc,2,101.451083143,1.77,182.44,180.67,18509.306071,18329.737653837,26.28,34.00,16.0,16.0,
7000,libvvenc,3,101.249384964,1.70,182.00,180.30,18427.766423,18255.642468562,26.34,36.00,16.0,16.0,
10000,libvvenc,1,121.805941299,1.73,184.04,182.31,22418.151838,22207.427559553,26.50,45.00,16.0,16.0,99.5285
10000,libvvenc,2,122.092280308,3.01,182.02,179.01,22223.982657,21856.484893273,26.50,33.00,16.0,16.0,
10000,libvvenc,3,122.006553780,1.47,182.54,181.07,22271.143669,22091.794034944,26.50,38.00,16.0,16.0,
20000,libvvenc,1,168.589720854,1.79,182.92,181.13,30839.154328,30537.378727672,26.57,35.00,16.0,16.0,99.8859
20000,libvvenc,2,168.258752354,1.99,184.10,182.11,30977.384260,30642.549342816,26.57,37.00,16.0,16.0,
20000,libvvenc,3,168.512166005,1.83,183.12,181.29,30858.341596,30549.964332211,26.56,33.00,16.0,16.0,
30000,libvvenc,1,187.735233870,1.75,183.50,181.75,34450.801394,34122.264734728,26.58,34.00,16.0,16.0,99.9026
30000,libvvenc,2,188.048042586,2.49,184.72,182.23,34736.617189,34268.377562961,26.57,36.00,16.0,16.0,
30000,libvvenc,3,187.478818226,1.46,183.82,182.36,34463.341217,34189.622142391,26.60,46.00,16.0,16.0,
50000,libvvenc,1,200.170424108,1.85,182.41,180.56,36514.848355,36144.533070401,26.56,33.00,16.0,16.0,99.9115
50000,libvvenc,2,199.514169004,1.63,185.42,183.79,36995.477679,36670.269583524,26.67,47.00,16.0,16.0,
50000,libvvenc,3,199.934415284,2.31,184.54,182.23,36896.965969,36435.117469694,26.57,34.00,16.0,16.0,
